"Name";"Location";"Site";"Type";"IpStart";"IpEnd";"RangeStart";"RangeEnd"
"10.108.133.0/24";"";"Quebec-1075";"IPv4";"10.108.133.0";"10.108.133.255";"174884096";"174884351"
"10.108.136.0/24";"";"Quebec-1075";"IPv4";"10.108.136.0";"10.108.136.255";"174884864";"174885119"
"10.108.137.0/24";"";"Quebec-1075";"IPv4";"10.108.137.0";"10.108.137.255";"174885120";"174885375"
"10.108.53.0/24";"";"Quebec-1075";"IPv4";"10.108.53.0";"10.108.53.255";"174863616";"174863871"
"10.108.177.0/24";"";"Quebec-1075";"IPv4";"10.108.177.0";"10.108.177.255";"174895360";"174895615"
"10.108.192.0/24";"";"Quebec-1075";"IPv4";"10.108.192.0";"10.108.192.255";"174899200";"174899455"
"10.108.134.0/24";"";"Quebec-1075";"IPv4";"10.108.134.0";"10.108.134.255";"174884352";"174884607"
"10.108.55.0/24";"";"Quebec-1075";"IPv4";"10.108.55.0";"10.108.55.255";"174864128";"174864383"
"10.108.54.0/24";"";"Quebec-1075";"IPv4";"10.108.54.0";"10.108.54.255";"174863872";"174864127"
"10.108.32.0/22";"";"Quebec-1075";"IPv4";"10.108.32.0";"10.108.35.255";"174858240";"174859263"
"10.108.184.0/24";"";"Quebec-1075";"IPv4";"10.108.184.0";"10.108.184.255";"174897152";"174897407"
"10.108.51.0/25";"";"Quebec-1075";"IPv4";"10.108.51.0";"10.108.51.127";"174863104";"174863231"
"10.108.200.0/24";"";"Quebec-1075";"IPv4";"10.108.200.0";"10.108.200.255";"174901248";"174901503"
"10.108.50.0/24";"";"Quebec-1075";"IPv4";"10.108.50.0";"10.108.50.255";"174862848";"174863103"
"10.209.4.0/22";"";"Quebec-1075";"IPv4";"10.209.4.0";"10.209.7.255";"181470208";"181471231"
"10.75.2.0/24";"";"Quebec-1075";"IPv4";"10.75.2.0";"10.75.2.255";"172687872";"172688127"
"10.75.5.0/24";"";"Quebec-1075";"IPv4";"10.75.5.0";"10.75.5.255";"172688640";"172688895"
"10.108.255.0/28";"";"Releve-ULaval";"IPv4";"10.108.255.0";"10.108.255.15";"174915328";"174915343"
"10.75.64.0/24";"";"Quebec-1075";"IPv4";"10.75.64.0";"10.75.64.255";"172703744";"172703999"
"10.108.255.32/28";"";"Releve-ULaval";"IPv4";"10.108.255.32";"10.108.255.47";"174915360";"174915375"
"10.108.60.0/24";"";"Quebec-1075";"IPv4";"10.108.60.0";"10.108.60.255";"174865408";"174865663"
"10.108.255.48/28";"";"Releve-ULaval";"IPv4";"10.108.255.48";"10.108.255.63";"174915376";"174915391"
"10.108.255.64/28";"";"Releve-ULaval";"IPv4";"10.108.255.64";"10.108.255.79";"174915392";"174915407"
"10.108.255.80/28";"";"Releve-ULaval";"IPv4";"10.108.255.80";"10.108.255.95";"174915408";"174915423"
"10.108.176.0/24";"";"Quebec-1075";"IPv4";"10.108.176.0";"10.108.176.255";"174895104";"174895359"
"10.108.62.0/24";"";"Quebec-1075";"IPv4";"10.108.62.0";"10.108.62.255";"174865920";"174866175"
"10.108.64.0/24";"";"Quebec-1075";"IPv4";"10.108.64.0";"10.108.64.255";"174866432";"174866687"
"10.108.32.0/20";"";"Quebec-1075";"IPv4";"10.108.32.0";"10.108.47.255";"174858240";"174862335"
"10.108.113.0/24";"";"Quebec-1075";"IPv4";"10.108.113.0";"10.108.113.255";"174878976";"174879231"
"10.108.169.0/24";"";"Quebec-1075";"IPv4";"10.108.169.0";"10.108.169.255";"174893312";"174893567"
"10.108.128.0/22";"";"Montreal";"IPv4";"10.108.128.0";"10.108.131.255";"174882816";"174883839"
"10.138.0.0/16";"";"Quebec-1075";"IPv4";"10.138.0.0";"10.138.255.255";"176816128";"176881663"
"10.108.65.0/24";"";"Quebec-1075";"IPv4";"10.108.65.0";"10.108.65.255";"174866688";"174866943"
"10.108.66.0/24";"";"Quebec-1075";"IPv4";"10.108.66.0";"10.108.66.255";"174866944";"174867199"
"10.108.209.0/24";"";"Quebec-1075";"IPv4";"10.108.209.0";"10.108.209.255";"174903552";"174903807"
"10.108.208.0/24";"";"Quebec-1075";"IPv4";"10.108.208.0";"10.108.208.255";"174903296";"174903551"
"10.108.210.0/24";"";"Quebec-1075";"IPv4";"10.108.210.0";"10.108.210.255";"174903808";"174904063"
"10.108.211.0/24";"";"Quebec-1075";"IPv4";"10.108.211.0";"10.108.211.255";"174904064";"174904319"
"10.108.212.0/24";"";"Quebec-1075";"IPv4";"10.108.212.0";"10.108.212.255";"174904320";"174904575"
"10.108.213.0/24";"";"Quebec-1075";"IPv4";"10.108.213.0";"10.108.213.255";"174904576";"174904831"
"10.108.48.0/24";"";"Quebec-1075";"IPv4";"10.108.48.0";"10.108.48.255";"174862336";"174862591"
"10.108.214.0/24";"";"Quebec-1075";"IPv4";"10.108.214.0";"10.108.214.255";"174904832";"174905087"
"10.108.49.0/24";"";"Quebec-1075";"IPv4";"10.108.49.0";"10.108.49.255";"174862592";"174862847"
"10.108.215.0/24";"";"Quebec-1075";"IPv4";"10.108.215.0";"10.108.215.255";"174905088";"174905343"
"10.108.216.0/24";"";"Quebec-1075";"IPv4";"10.108.216.0";"10.108.216.255";"174905344";"174905599"
"10.108.217.0/24";"";"Quebec-1075";"IPv4";"10.108.217.0";"10.108.217.255";"174905600";"174905855"
"10.108.218.0/24";"";"Quebec-1075";"IPv4";"10.108.218.0";"10.108.218.255";"174905856";"174906111"
"10.108.219.0/24";"";"Quebec-1075";"IPv4";"10.108.219.0";"10.108.219.255";"174906112";"174906367"
"10.108.220.0/24";"";"Quebec-1075";"IPv4";"10.108.220.0";"10.108.220.255";"174906368";"174906623"
"10.108.221.0/24";"";"Quebec-1075";"IPv4";"10.108.221.0";"10.108.221.255";"174906624";"174906879"
"10.108.222.0/24";"";"Quebec-1075";"IPv4";"10.108.222.0";"10.108.222.255";"174906880";"174907135"
"10.108.223.0/24";"";"Quebec-1075";"IPv4";"10.108.223.0";"10.108.223.255";"174907136";"174907391"
"10.108.56.0/24";"";"Quebec-1075";"IPv4";"10.108.56.0";"10.108.56.255";"174864384";"174864639"
"10.108.224.0/24";"";"Montreal";"IPv4";"10.108.224.0";"10.108.224.255";"174907392";"174907647"
"10.108.57.0/24";"";"Quebec-1075";"IPv4";"10.108.57.0";"10.108.57.255";"174864640";"174864895"
"10.108.225.0/24";"";"Montreal";"IPv4";"10.108.225.0";"10.108.225.255";"174907648";"174907903"
"10.108.226.0/24";"";"Montreal";"IPv4";"10.108.226.0";"10.108.226.255";"174907904";"174908159"
"10.108.227.0/24";"";"Montreal";"IPv4";"10.108.227.0";"10.108.227.255";"174908160";"174908415"
"10.108.228.0/24";"";"Montreal";"IPv4";"10.108.228.0";"10.108.228.255";"174908416";"174908671"
"10.108.32.0/21";"";"Quebec-1075";"IPv4";"10.108.32.0";"10.108.39.255";"174858240";"174860287"
"10.108.230.0/24";"";"Montreal";"IPv4";"10.108.230.0";"10.108.230.255";"174908928";"174909183"
"10.108.229.0/24";"";"Montreal";"IPv4";"10.108.229.0";"10.108.229.255";"174908672";"174908927"
"10.108.231.0/24";"";"Montreal";"IPv4";"10.108.231.0";"10.108.231.255";"174909184";"174909439"
"10.108.40.0/24";"";"Quebec-1075";"IPv4";"10.108.40.0";"10.108.40.255";"174860288";"174860543"
"10.108.61.0/24";"";"Quebec-1075";"IPv4";"10.108.61.0";"10.108.61.255";"174865664";"174865919"
"10.108.138.0/24";"";"Quebec-1075";"IPv4";"10.108.138.0";"10.108.138.255";"174885376";"174885631"
