"Subnet1";"Site1";"Subnet2";"Site2";"IsSameSite"
"10.108.32.0/21";"Quebec-1075";"10.108.32.0/22";"Quebec-1075";"True"
"10.108.32.0/20";"Quebec-1075";"10.108.32.0/21";"Quebec-1075";"True"
"10.108.32.0/20";"Quebec-1075";"10.108.32.0/22";"Quebec-1075";"True"
"10.108.32.0/20";"Quebec-1075";"10.108.40.0/24";"Quebec-1075";"True"
"10.108.32.0/20";"Quebec-1075";"10.108.41.0/24";"Quebec-1075";"True"
"10.108.32.0/20";"Quebec-1075";"10.108.42.0/24";"Quebec-1075";"True"
"10.108.32.0/20";"Quebec-1075";"10.108.43.0/24";"Quebec-1075";"True"
"10.108.32.0/20";"Quebec-1075";"10.108.45.0/24";"Quebec-1075";"True"
"10.108.32.0/20";"Quebec-1075";"10.108.46.0/24";"Quebec-1075";"True"
"10.108.100.0/24";"Quebec-1075";"10.108.100.0/26";"Quebec-1075";"True"
"10.108.100.0/24";"Quebec-1075";"10.108.100.64/28";"Quebec-1075";"True"
"10.108.100.0/24";"Quebec-1075";"10.108.100.96/27";"Quebec-1075";"True"
"10.108.100.0/24";"Quebec-1075";"10.108.100.128/26";"Quebec-1075";"True"
"10.108.100.0/24";"Quebec-1075";"10.108.100.224/28";"Quebec-1075";"True"
"10.108.101.0/24";"Quebec-1075";"10.108.101.0/26";"Quebec-1075";"True"
"10.108.101.0/24";"Quebec-1075";"10.108.101.64/28";"Quebec-1075";"True"
"10.108.101.0/24";"Quebec-1075";"10.108.101.96/27";"Quebec-1075";"True"
"10.108.101.0/24";"Quebec-1075";"10.108.101.128/26";"Quebec-1075";"True"
"10.108.101.0/24";"Quebec-1075";"10.108.101.192/27";"Quebec-1075";"True"
"10.108.103.0/24";"Quebec-1075";"10.108.103.0/27";"Quebec-1075";"True"
"10.108.103.0/24";"Quebec-1075";"10.108.103.32/28";"Quebec-1075";"True"
"10.108.103.0/24";"Quebec-1075";"10.108.103.64/27";"Quebec-1075";"True"
"10.108.103.0/24";"Quebec-1075";"10.108.103.128/27";"Quebec-1075";"True"
"10.108.108.0/23";"Quebec-1075";"10.108.109.0/26";"Quebec-1075";"True"
"10.108.108.0/23";"Quebec-1075";"10.108.109.64/28";"Quebec-1075";"True"
"10.108.108.0/23";"Quebec-1075";"10.108.109.96/27";"Quebec-1075";"True"
"10.108.108.0/23";"Quebec-1075";"10.108.109.224/28";"Quebec-1075";"True"
"10.108.112.0/24";"Quebec-1075";"10.108.112.0/26";"Quebec-1075";"True"
"10.108.112.0/24";"Quebec-1075";"10.108.112.64/28";"Quebec-1075";"True"
"10.108.112.0/24";"Quebec-1075";"10.108.112.224/28";"Quebec-1075";"True"
